Timestamp,Which of the following best describe(s) how you think of yourself? (Please note that this survey is intended for people who are not just men all the time or just women all the time.),"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?","Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you?",Feedback
08/02/2015 18:10:18,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Trans*, Transgender",Mx,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 18:11:11,"Agender, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
08/02/2015 18:11:01,Agender,Mx,"He/him, They/them (singular they)",
08/02/2015 18:15:06,"Fluid gender/genderfluid, Woman",Mx,They/them (singular they),
08/02/2015 22:15:42,"Agender, Androgyne, Genderqueer, Neutral, Nonbinary, Trans, Trans*, Transgender",No title at all,"Ey/em (Spivak), They/them (singular they)",
08/02/2015 18:19:12,"Fluid gender/genderfluid, Genderqueer",Mx,"Ey/em (Spivak), They/them (singular they)",
08/02/2015 18:19:34,"Androgyne, Neutrois, Nonbinary",Mx,They/them (singular they),
08/02/2015 18:21:09,"Agender, Genderqueer, Neutrois, Nonbinary",Mx,"None/avoid pronouns, They/them (singular they)",
08/02/2015 18:24:24,"Neutral, Neutrois, Nonbinary, Trans*, Transgender, Demiboy",Mx,They/them (singular they),
08/02/2015 18:27:00,"Agender, Neutral, Nonbinary, Questioning or unknown",Mx,"Ey/em (Spivak), Questioning or unknown, They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 18:27:32,"Genderqueer, Nonbinary",[Dr] I got a PhD partly to get a gender neutral title! ,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
08/02/2015 18:28:18,Fluid gender/genderfluid,Misc,They/them (singular they),
08/02/2015 18:30:23,"Genderqueer, Nonbinary, Trans, Transgender",No title at all,"They/them (singular they), xe/xem/xyr",
08/02/2015 18:31:57,Questioning or unknown,No title at all,"They/them (singular they), any gender-neutral",
