Identifying timestamp,Terms per person,Which of the following best describe(s) in English how you think of yourself? (Please note that this survey is intended for people who are not only men all the time or only women all the time.),Nonbinary,Genderqueer,Trans,Agender,Transgender,Fluid gender/genderfluid,Enby,Demigender,Transmasculine,Neutral,Questioning or unknown,Androgyne,Woman (or girl if you are younger),Trans*,None/I do not describe my gender,Man (or boy if you are younger),Neutrois,Transfeminine,Bigender,Third gender,Intergender,Cisgender,Genderflux,genderless,Femme,maverique,"gendervoid, voidgender, void",gender non-conforming,trigender,two-spirit,Polygender,Agenderflux,transfeminine,Queer,Butch,gendervague,aporagender,Transsexual,gender variant,human/person,genderfuck(ed),apogender,Male,boy (adult),"femme nb, nb femme, etc.",greygender,pangender,masculine of centre,Mixed gender,Demiagender,non-gendered,genderpunk,boi,Fluid agender/agenderfluid,Female,genderweird,androgynous (specifically not androgyne),genderful,Transwoman,confused,alexigender,geek,Transman,null / no gender,Other,guy,intersex(ed),FTM/female to male,post-gender,aliagender,multi-gender(ed),fairy or faery,transfemale,videgender,tomboy,Mutogender,plural,ilyagender,ambigender,librafeminine,witch,FTMTX,genderfree,hybrid,trans boi,androgynous woman,fluid centering just androgynous of female,androgynous genderqueer transwoman,nonbinary guy,culturally female,voidboy,feminine genderflux,fluidflux,libramasculine,"nonbinary, but woman aligned",woman-aligned,blank,bakla,ladyboy,a Literal Mess,grey-agender boy,Star Trek extra,transqueer,nonbinary boy,neuter,egogender,nondual,nerd,boyflux,demifluid,kid,not cisgender,rejects gender,demifemme,androfem,virgender,eldrigender,nb,female fiction,herm,paragender,nonbinary gendermeh,magiboy,genderchill,pretty boy,dandy,bordergender,demimasculine,"gender related to ""girl""","well, 'woman' seems simplest, let's just go with that",winkte (two spirit),tunte (german),x-jender,nonhuman,transgender androgyne,ambi-binary,angenital,dual gender,alien,gender non-compliant,autistic,gender-abolitionist,of trans experience,androgyne of centre,juxera neutroisflux,differently gendered,bear,demigal,queer trans person of colour (qtpoc),stargender,mahu,non-male,afraid,butch/femme/mix,not defined,all genders,i caucus with women,[angry profanity],[blank panic],transgender female,cassgender,somewhat feminine most of the time,girlfing,None Of Your Business,gender disobedient,divigender,ladydude,transfemme,girl aligned,nth gender,monstrous,nonbinary girl,demiflux,femme boy,autisgender,traumagender,faegender,xenogender,queer who don't care
Total responses:,3.9,Totals:,1975,1243,1063,944,943,942,477,452,434,420,397,380,363,272,259,232,207,200,123,84,47,26,25,17,14,12,8,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3055,,%:,65%,41%,35%,31%,31%,31%,16%,15%,14%,14%,13%,12%,12%,9%,8%,8%,7%,7%,4%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
08/01/2016 05:17:17,6,"Genderqueer, Man (or boy if you are younger), Nonbinary, Trans, Transgender, Transmasculine",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:18:39,4,"Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:48:43,7,"Genderqueer, Neutrois, Nonbinary, Trans, Trans* (trans with a wildcard symbol), Transgender, Transmasculine",1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:50:31,2,"Demigender (demigirl/boy/man/woman), Woman (or girl if you are younger)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:51:20,3,"None/I do not describe my gender, Nonbinary, Woman (or girl if you are younger)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:53:28,6,"Genderqueer, Man (or boy if you are younger), Nonbinary, Trans, Transgender, Transmasculine",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:54:28,3,"Fluid gender/genderfluid, Nonbinary, Trans",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 06:05:51,2,"Agender, Nonbinary",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
