Identifying timestamp,"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?",Mx,No title at all,Career or qual (non-gendered),A standard title for NB/GQ people,Mr,Ms,"Ind (or something else short for ""individual"")",[Left blank] or unknown,Miss,"Even for long-term things like ID or bank cards, I choose whichever feels right on the day from the options available",Misc,Pr,M,Mrs,Career or qual (gendered),Comrade,Ser,Myr,Mr/Ms (said together),Messr,Sir,Lord,The,Mz,Mez,Citizen,the one and only,emx,darth,her imperial majesty,mxss,any,anything female-coded,human,P,surname only,Un (for untitled),Md
Total responses,Totals:,1052,1004,384,110,93,78,77,74,55,32,25,17,16,8,5,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3055,%:,34%,33%,13%,4%,3%,3%,3%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
08/01/2016 05:17:17,"A non-gendered professional or academic title (Eg: Dr, Rev)",0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:18:39,Mx,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:48:43,No title at all,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:50:31,Ms,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:51:20,"A non-gendered professional or academic title (Eg: Dr, Rev)",0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:53:28,"A standard title that indicates my nonbinary/genderqueer identity (if you know of one, leave it in the Feedback box)",0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 05:54:28,Mx,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2016 06:05:51,Mx,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
